project_name,github_url,target_remote_path,allow_delete
a2a_server_client,https://github.com/google/A2A,samples,DELETE
agent_debates_with_tools,https://github.com/NirDiamant/RAG_Techniques,FILE,DELETE
agent_multi-agent_pattern,https://github.com/microsoft/ai-agents-for-beginners,08-multi-agent,DELETE
agent_planning_pattern,https://github.com/microsoft/ai-agents-for-beginners,07-planning-design,DELETE
agent_react_pattern,https://github.com/langchain-ai/react-agent,FILE,DELETE
agent_reflection_pattern,https://github.com/emarco177/reflexion,ROOT,DELETE
agent_tool_use_pattern,https://github.com/microsoft/ai-agents-for-beginners,04-tool-use,DELETE
chess_agent,https://github.com/Shubhamsaboo/awesome-llm-apps,SKIP,
role_playing,https://github.com/langchain-ai/langchain,FILE,DELETE
web_scrap_agent,https://github.com/Shubhamsaboo/awesome-llm-apps,web_scrapping_ai_agent,DELETE
azure_ai_foundry_sft_finetuning,https://github.com/Azure-Samples/azure-openai-raft,ROOT,DELETE
azure_ai_foundry_workshop,https://github.com/Azure/ai-foundry-workshop,ROOT,DELETE
azure_ai_search,https://github.com/microsoft/RAG-Knowledge,SKIP,
azure_bot,https://github.com/pablomarin/GPT-Azure-Search-Engine,FILE,DELETE
azure_cosmos_db,https://github.com/microsoft/AzureDataRetrievalAugmentedGenerationSamples,Python,DELETE
azure_document_intelligence,https://github.com/Azure-Samples/document-intelligence-code-samples,Python(v4.0),DELETE
azure_evaluation_sdk,https://github.com/Azure/azure-sdk-for-python,samples,DELETE
azure_machine_learning,https://github.com/Azure/MachineLearningNotebooks,tutorials,DELETE
azure_postgres_db,https://github.com/Azure-Samples/azure-postgres-pgvector-python,examples,DELETE
azure_sql_db,https://github.com/Azure-Samples/SQL-AI-samples,ROOT,DELETE
m365_agents_sdk,https://github.com/microsoft/Agents,samples,DELETE
azure_oai_usage_stats_(power_bi),https://github.com/Azure/GPT-RAG,FILE,DELETE
chain-of-thought,https://github.com/kyegomez/tree-of-thoughts,FILE,DELETE
fabric_cosmosdb_chat_analytics,https://github.com/microsoft/fabric-cosmosdb-chat-analytics,ROOT,DELETE
firecrawl_(crawling),https://github.com/mendableai/firecrawl,examples,DELETE
ms_graph_api,https://github.com/microsoftgraph/msgraph-sdk-python,SKIP,
presidio_(redaction),https://github.com/microsoft/presidio,python,DELETE
prompt_buddy_(power_app),https://github.com/stuartridout/promptbuddy,FILE,DELETE
sammo_(prompt_opt),https://github.com/microsoft/sammo,examples,DELETE
semantic_chunking_(rag),https://github.com/NirDiamant/RAG_Techniques,FILE,DELETE
code_editor_(vscode),https://github.com/kimtth/vscode-extension-lsp-pfx,SKIP,
e2e_testing_agent,https://github.com/NirDiamant/GenAI_Agents,FILE,DELETE
git_repo_with_chat,https://github.com/cyclotruc/gitingest,SKIP,
gui_automation,https://github.com/microsoft/UFO,SKIP,
llm_router,https://github.com/lm-sys/RouteLLM,FILE,DELETE
mcp_(model_context_protocol),https://github.com/block/goose,mcp-wiki,DELETE
mcp_to_openai_func_call,https://github.com/openai/openai-agents-python,SKIP,
memory_for_llm,https://github.com/kingjulio8238/memary,SKIP,
memory_graphiti,https://github.com/getzep/graphiti,SKIP,
mini-copilot,https://github.com/kimtth/mini-copilot,SKIP,
mixture_of_agents,https://github.com/Shubhamsaboo/awesome-llm-apps,FILE,DELETE
open_telemetry,https://github.com/open-telemetry/opentelemetry-python,SKIP,
evaluation_llm_as_judge,https://github.com/openai/openai-cookbook,evaluation,DELETE
guardrails,https://github.com/openai/openai-cookbook,FILE,DELETE
pyrit_(safety_eval),https://github.com/Azure/PyRIT,cookbooks,DELETE
agno_(framework),https://github.com/agno-agi/agno,cookbook,DELETE
autogen_(framework),https://github.com/microsoft/autogen,python/samples,DELETE
crewai_(framework),https://github.com/crewAIInc/crewAI-examples,ROOT,DELETE
dspy_(framework),https://github.com/stanfordnlp/dspy,examples,DELETE
guidance_(framework),https://github.com/guidance-ai/guidance,notebooks,DELETE
haystack_(framework),https://github.com/deepset-ai/haystack,examples,DELETE
langchain_(framework),https://github.com/langchain-ai/langchain,cookbook,DELETE
llamaindex_(framework),https://github.com/run-llama/ai-engineer-workshop,notebooks,DELETE
magentic-one_(agent),https://github.com/microsoft/autogen/tree/v0,SKIP,
mem0_(framework),https://github.com/mem0ai/mem0,cookbooks,DELETE
omniparser_(gui),https://github.com/microsoft/OmniParser,FILE,DELETE
prompty_(framework),https://github.com/microsoft/prompty,SKIP,
prompt_flow_(framework),https://github.com/microsoft/promptflow,examples,DELETE
pydantic_ai_(framework),https://github.com/pydantic/pydantic-ai,examples,DELETE
semantic_kernel_(framework),https://github.com/microsoft/semantic-kernel,python/samples,DELETE
smolagent_(framework),https://github.com/huggingface/smolagents,examples,DELETE
tiny_troupe_(framework),https://github.com/microsoft/TinyTroupe,examples,DELETE
auto_insurance_claims,https://github.com/run-llama/llamacloud-demo,auto_insurance_claims,DELETE
career_assistant_agent,https://github.com/NirDiamant/GenAI_Agents,FILE,DELETE
contract_review,https://github.com/run-llama/llamacloud-demo,contract_review,DELETE
customer_support_agent,https://github.com/NirDiamant/GenAI_Agents,FILE,DELETE
damage_insurance_claims,https://github.com/farzad528/azure-ai-search-python-playground,FILE,DELETE
invoice_+_sku_matching,https://github.com/run-llama/llamacloud-demo,invoice_sku_product_catalog_matching,DELETE
